番号,単語,意味
1,abandon,放棄する、あきらめる、捨てる
2,abdominal,腹部の、腹筋
3,abhor,忌み嫌う、憎悪する
4,ability,能力
5,able,できる、有能な、能力のある
6,abnormality,異常（性）
7,abolish,廃止する、撤廃する
8,aboriginal,原生の、先住の、アボリジニの
9,abort,中止する
10,abortion,妊娠中絶
11,abound,豊富である、～で満ちている
12,above,上(方)に、前述の
13,abridged,簡約[短縮]された
14,abroad,海外へ，海外で
15,abrupt,突然の、ぶっきらぼうな
16,abruptly,不意に、突然
17,absence,不在、欠席
18,absent,欠席して
19,absolute,絶対的な、完全な、全くの
20,absolutely,まったく、[返事]まったくその通りだ、絶対に
21,absorb,吸収する、夢中にさせる、理解する
22,absorption,没頭(in)、吸収
23,abstain,慎む
24,abstract,抽象的な
25,absurd,ばかげた、不合理な
26,abundance,豊富。大量
27,abundant,豊富な、～に富む
28,abuse,乱用(する)、虐待(する)、誤用(する)
29,academic,学問の、学究的な、学園の、大学（教育）の
30,academy,（大学などの）高等教育機関、専門学校
31,accelerate,加速させる、促進する、加速する
32,accent,なまり、アクセント
33,accept,受け取る、受け入れる、認める
34,acceptable,受け入れられる、容認できる
35,acceptance,受諾、受け取り
36,access,利用、入手、接近（の機会・方法・権利）、アクセスする
37,accessory,補助的な、付随する、[複]付属品
38,accident,(偶然の)事故、事件； 偶然
39,accidental,偶然の、過失による
40,accidentally,誤って、うっかり、偶然にも
41,acclaim,賞賛する
42,accommodate,収容する、宿泊させる、適応させる
43,accommodation,(<米>―s)宿泊施設
44,accompany,同行する、一緒に行く、随して起こる
45,accomplish,成し遂げる、達成する
46,accomplishment,完成、業績
47,accord,"一致、合意、協定、一致する, 調和する"
48,according,（according to）～に一致して、～に従って、～によれば
49,accordingly,それに応じて、それ相応に、したがって
50,account,占める、説明する、原因となる、説明、勘定、口座
51,accountable,（説明する）責任がある、説明可能な、理解できる
52,accounting,経理、会計(学)
53,accumulate,蓄積する、集める、積もる
54,accuracy,正確さ、精度
55,accurate,正確な、精密な、狂いのない
56,accusation,非難、告訴
57,accuse,訴える、非難する
58,accustom,（人）を慣れさせる
59,accustomed,慣れている
60,ache,痛む、切望する
61,achieve,達成する、成し遂げる、獲得する
62,achievement,学業（成績）、業績、達成
63,acid,酸、酸性の、酸味の、批判的な
64,acknowledge,（事実など）を認める、に謝意を表す
65,acknowledgment,感謝（のしるし）、承認、白状
66,acoustic,音響の、聴覚の、（楽器が）アコースティックの
67,acquaint,(詳しく)を知らせる、を知り合いにさせる
68,acquaintance,知人、知り合い、面識、知識、交際
69,acquainted,知り合いである
70,acquire,獲得する、習得する
71,acre,エーカー（約4047㎡)
72,act,行動する； 行動； 法令
73,activate,を活性化する、を作動させる
74,active,積極的な、能動的な、活動している、有効な
75,actively,積極的に、活発に
76,activist,活動家
77,activity,活動
78,actual,実際の、現実の
79,actualization,実現化
80,actually,実際に、（意外だが）実は、本当は
81,acute,鋭い、激しい、急性の
82,ad,広告
83,adapt,適応する、を（～に）適応させる（to）
84,adaptable,適応性のある、順応できる
85,adaptation,順応、適応
86,adaptive,適応性のある、適応できる
87,add,加える、付け加えて言う
88,addict,中毒患者、〔受身で〕（～の）中毒になる
89,addicted,中毒である
90,addiction,中毒、熱中
91,addictive,依存性の、中毒性の
92,additional,追加の、付加的な
93,additive,添加物
94,address,演説する、話しかける、取り組む、住所、演説、あいさつ
95,adept,（at ～）（～に）熟練した
96,adequate,十分な、適切な
97,adhere,くっつく、粘着する、固執する
98,adhesive,接着剤
99,adjective,形容詞、形容詞の
100,adjust,適応させる、適応する
101,administer,管理する、運営する
102,administration,管理、経営、運営、行政、政府、政権
103,admirable,賞賛に値する、素晴らしい
104,admiration,感嘆、賞賛
105,admire,賞賛する、感心する
106,admission,入場料
107,admit,認める、入場を認める
108,admittedly,明らかに
109,admonish,注意する
110,adolescent,青年、青年期の
111,adopt,採用する、（態度など）をとる、養子にする
112,adorable,非常にかわいい[いとしい]
113,adore,あこがれる、慕う、崇拝する
114,adrenalin,アドレナリン
115,adrift,漂って、目的を失って
116,adult,大人； 大人の
117,advance,進歩、前進、進歩させる（する）
118,advanced,進歩した、前進した、上級の
119,advantage,利益、利点、優勢、有利な立場
120,advent,出現、到来
121,adventure,冒険
122,adverse,逆の、不都合な、不利な、有害な、敵対的な
123,advertise,広告する、宣伝する、公にする
124,advertisement,広告
125,advertising,宣伝、広告
126,advise,忠告（助言）する
127,adviser,助言者、顧問、アドバイザー
128,advocate,主張する、唱える、支持する、支持者、主張・提唱者
129,aerospace,航空宇宙
130,aesthetic,美的な、美学の
131,affair,出来事、問題、仕事、（～s）事情
132,affect,影響を与える、～のふりをする、～を愛用する
133,affection,愛情
134,affectionate,愛情のこもった、やさしい
135,affiliate,を提携させる、を合併する
136,affirm,肯定する、断言する、肯定する、断言する
137,affirmative,肯定的な、肯定、賛成
138,afflict,(通常受動態で)を悩ませる、を苦しめる
139,affluent,（経済的に）豊かな、裕福な、おびただしい、豊富な
140,afford,（～を持てるだけの経済的）余裕がある、～を与える
141,affordable,手頃な、安価な
142,afterward,その後で、後に
143,age,年齢、年代、老年、（歴史上の）時代、年を取る
144,aged,年老いた
145,agency,機関、代理店
146,agenda,協議事項（リスト）、議事日程（表）、（政治上の）課題
147,agent,代理人、行為者、薬剤、（反応・変化を起こす）力
148,aggravate,悪化させる
149,aggression,攻撃性、侵略
150,aggressive,攻撃的な、けんか腰の、積極的な
151,aggressively,攻撃的に、積極的に
152,aging,高齢化が進む、老朽化している
153,agitate,動揺させる；先導する
154,agitation,動揺、興奮、扇動
155,agonize,苦悶する
156,agony,(心身の)苦痛、苦悩
157,agree,同意する、賛成する、合う
158,agreeable,好みに合う、感じのよい、同意する、ふさわしい
159,agricultural,農業の
160,agriculture,農業、農学、畜産
161,ahead,前方へ（に）、事前に、出世して
162,aid,支援、救援（物資）、を援助する、助けとなる
163,aim,目的、目標にする、狙う、努力する（to do）
164,aimlessly,当てもなく
165,air,空気、空中、様子、（複数）気取り
166,aircraft,航空機
167,airline,定期航空路、航空会社
168,aisle,(座席間などの)通路
169,akin,同様の、同種の、類似した
170,alarm,恐れ、目覚まし時計、警報、を驚かせる、不安にさせる
171,alarming,驚くべき、心配な
172,alcohol,酒、アルコール
173,alcoholic,アルコールの
174,alert,油断のない、警戒を怠らない、機敏な、注意を呼びかける
175,algae,藻、藻類
176,algebra,代数（学）
177,algorithm,アルゴリズム、問題解決の手順
178,alien,外国の、異質の、～と相容れない、外国人、宇宙人
179,alienate,遠ざける
180,align,を一直線に並べる
181,alignment,整列
182,alike,同様の（に）、似ている
183,alive,生きて、元気で
184,allegation,申し立て
185,allege,主張する
186,allegedly,伝えられるところによると
187,allergy,アレルギー
188,alleviate,軽くする、軽減する
189,alliance,同盟、提携
190,allied,連合の、同盟を組んだ
191,allocate,割り当てる、分配する
192,allot,分配する、割り当てる、充当する
193,allow,許す、認める、考慮に入れる（for）
194,allowance,小遣い、手当、許可
195,ally,同盟者〔国〕、結びつく、連合する、同盟する
196,almost,ほとんど
197,alone,1人で、（名詞＋alone）～だけ
198,alongside,横に、～と並んで、～と一緒に
199,aloof,離れて、よそよそしくて
200,aloud,声に出して
201,alter,変える、変わる
202,alteration,変更
203,alternate,代わりの、交互の、交替する、交互に現れる、交互にする
204,alternative,代替手段、選択肢、二者択一の、代わりの
205,although,…だが、…にもかかわらず
206,altitude,高度、標高、海抜
207,altogether,完全に、全く、要するに、合計して
208,altruism,利他主義
209,amateur,アマチュア、素人、未熟な、下手な
210,amaze,びっくりさせる、驚かせる
211,amazing,驚くべき
212,ambassador,大使、代表、使節
213,ambiguous,あいまいな、両義にとれる
214,ambition,願望、野望、野心
215,ambitious,大望を抱いた、熱望している、野心的な
216,ambivalent,矛盾する、相反する、どちらか決めかねて
217,ambulance,救急車
218,amend,修正する、改正する
219,amendment,改正、修正
220,amenity,生活を快適にするもの
221,amicable,友好的な
222,ammunition,弾薬
223,amnesty,恩赦
224,amount,量、合計、総額、総計～に達する、～に等しい
225,amphibian,両生動物；両生類の
226,ample,十分すぎるほどの、豊富な、広い、広大な
227,amplify,増幅する
228,amputee,切断手術を受けた患者
229,amuse,おもしろがらせる、楽しませる
230,amusement,娯楽、面白さ
231,analogy,類推、類似、類似点
232,analysis,分析（結果）、解明
233,analyze,分析する
234,anarchy,無秩序
235,anatomy,構造、解剖学
236,ancestor,祖先、先駆者、原型
237,ancestral,先祖伝来の、先駆者の、原型をなす
238,ancient,古代の、昔の、昔からの、（物などが）とても古い
239,anecdote,逸話
240,anger,怒り
241,angle,観点、角（度）
242,angry,怒って
243,anguish,苦悩させる、苦悩する、苦痛、悲しみ
244,animate,活気づける、駆り立てる、生きている、活発な
245,animation,アニメ(製作)、活気
246,ankle,足首
247,anniversary,（～周年）記念日
248,annotation,注釈
249,announce,発表［公表］する、知らせる、（物事が）を告げる
250,annoy,いらいらさせる、悩ます、〔受身形で〕腹が立つ
251,annoyance,いらだち、悩みの種
252,annual,１年間の、年１回の、例年の
253,anonymous,匿名の、無名の
254,anorexia,拒食症
255,ant,アリ
256,Antarctic,南極地方
257,Antarctica,南極大陸
258,anthem,賛美歌
259,anthropologist,人類学者
260,anthropology,人類学
261,antibiotic,〔通例～s〕抗生物質
262,anticipate,予想する、予期する、楽しみにして待つ
263,anticipation,期待、予期、予想
264,anticipatory,予期[予想]しての、見越しての
265,antioxidant,抗酸化物質、酸化防止剤
266,antique,骨董品の、年代物の、古風な
267,antiquity,古代、古物
268,anxiety,不安、心配
269,anxious,"心配している(about)、切望している(for, to do)"
270,anyhow,ともかく、いずれにせよ
271,anymore,（否定・疑問文）もはや（…できない）
272,anyway,（肯定文）とにかく、（否定文）どうしても
273,apart,離れて、個々に
274,apathy,無感動、無関心、冷淡
275,ape,猿、類人猿
276,apologize,謝る、弁明する
277,apology,謝罪
278,app,アプリ
279,appall,ぎょっとさせる
280,appalling,ぞっとするような
281,apparatus,装置、器具一式、機構
