番号,英単語,意味
1,victory,勝利、征服
2,please,～を喜ばせる、～を満足させる；好む、欲する
3,party,党、政党；一行、仲間；当事者、関係者、共犯者；相手方；パーティー
4,overcome,～に打ち勝つ；～を克服する; (be overcome）うちのめされる
5,comprehend,～を理解する；～を包含する
6,able,できる (be able to V=can V)；有能な、能力のある
7,academic,学問の、学究的な；学園の、大学（教育）の
8,favor,好意、親切な行為；支持；～に賛成する；～をえこひいきする
9,bend,～を曲げる；曲がる
10,fluent,流暢な、緩やかな
11,improve,～を改良する、～を改善する；よくなる
12,advance,～を進める；～を昇進させる；前進、進歩；昇進
13,marvelous,驚くべき、不思議な；素晴らしい
14,grateful,感謝している
15,appreciate,～を正しく理解する；～を正しく評価する；～を鑑賞する；～を感謝する
16,content,（～に）満足して；満足している；（スピーチ、論文などの）内容、中身
17,congratulate,～を祝う；～におめでとうと言う；～にお祝いを言う
18,prosperity,繁栄、幸運
19,persist,固執する；主張し続ける；(辛抱強く)～し続ける；（慣習等が）存続する
20,flourish,繁栄する、生い茂る；活躍する
21,glorious,栄光ある、すばらしい、輝かしい、名誉な
22,thrive,栄える；うまくやっている；成長する
23,inborn,生まれつきの、生来の
24,inherent,本来備わっている、（～に）固有の
25,inherit,～を受け継ぐ、～を相続する
26,sermon,（教会での）説教；小言
27,bliss,至福
28,sacred,神聖な
29,ritual,（伝統的・宗教的な）儀式；日常の習慣的行為
30,advocate,～を主張する、唱える、支持する；支持者、主張・提唱者
31,knight,騎士
32,playwright,脚本家、劇作家
33,region,地域、地方；分野、領域；（身体の）部分
34,population,人口；住民；集団
35,custom,慣習；習慣；（商店などへの）愛顧；（～s）関税、税関
36,popular,人気のある；大衆的な、一般の、国民の
37,invite,～を招待する、～を誘う；～に（～することを）勧める
38,obtain,～を得る
39,greet,～にあいさつをする、～を歓迎する
40,violate,～に違反する、～を侵害する、～に暴行する
41,violent,激しい、乱暴な、暴力的な、猛烈な
42,unemployment,失業（状態）；失業率
43,fire,（労働者）を首にする；（銃など）を発射する
44,employ,～を雇う、～を用いる
45,demonstrate,～を（実例で）説明する、～を実演する、～を証明する
46,merchant,貿易商、商人
47,military,軍（隊）の；軍人の
48,weapon,武器、兵器
49,status,地位、身分；状況；高い社会的地位
50,purchase,～を購入する
51,garbage,ゴミ；くだらないもの
52,luxury,豪華なもの；贅沢（品）
53,domestic,家庭の、家庭的な；国内の；飼い慣らされた
54,realm,領域、分野；王国
55,democrat,民主主義者；民主党議員
56,salute,会釈する；敬礼する
57,dismiss,～を解雇する；～を捨てる；～を解散する；～を退ける
58,hierarchy,階級制度、ヒエラルキー; 支配層
59,republic,共和国；団体、社会
60,grocery,食料雑貨店、（～ies）食料雑貨（品）
61,peasant,小作農；農民
62,autocrat,独裁者、専制君主
63,monarch,君主、皇帝
64,regime,政権；（社会）制度、体制
65,absorb,～を吸収する；～の心を奪う；～を夢中にさせる
66,deal,扱う
67,gather,～を集める；～だとわかる；（～である）と推測する、（速度など）を増す
68,gaze,じっと見つめる、見つめる
69,glance,ちらりと見る、ざっと見る
70,glimpse,ちらりと見る、（～が）ちらりと見える
71,observe,（法律など）を守る；（祝祭日など）を祝う；～を観察する;～と言う
72,remind,（人）に思い出させる；～に（...を）気づかせる
73,remember,～を思い出す、～を覚えている；～のことをよろしくと伝える
74,include,～を含む、～を同封する
75,profit,利益
76,benefit,恩恵；利益
77,stare,じっと見つめる
78,recollect,～を思い出す
79,recall,～を思い出す；～を回収する
80,defend,～を守る、～を弁護する
81,offend,～を怒らせる、～を不快にさせる
82,miss,～に間に合わない；～しそこなう；～がないのを寂しく思う；(狙い)をはずす
83,presume,～を推定する；（～である）と思う
84,protest,～に抗議する
85,irritate,～をいらいらさせる
86,banish,～を追放する
87,vanish,（突然、または完全に）消える；（完全に）消滅する；薄れる
88,assault,攻撃、暴行
89,surrender,降伏する；（感情などに）身を任せる
90,dispute,（～について）論争する、議論する
91,repent,～を後悔する、～を残念に思う
92,reconcile,～を和解させる、～を調和させる；（運命・損失などに）甘んじる
93,agitate,～を動揺（興奮）させる、～を扇動する；～をかくはんする
94,manipulate,～を巧みに扱う、～をうまく処理する；(人、世論等）を操作する
95,persecute,～を迫害する；～を悩ます
96,provoke,～を怒らせる；(感情など）を起こさせる；～を駆り立てる
97,environment,（自然）環境、（周囲の）環境
98,atmosphere,雰囲気；大気；空気
99,hell,地獄
100,heaven,天国；（H～で）神
101,major,主要な；大多数の；重要な；より大きな
102,minor,小さな；重要でない、主要でない、下位の；たいしたことがない
103,harbor,港、湾；避難所、隠れ場所
104,subway,地下鉄（アメリカ用法）；地下道（イギリス用法）
105,tremendous,巨大な、莫大な；すさまじい、ものすごい
106,vast,広大な；莫大な
107,previous,以前の；（時間・順序的に）前の～、前回の～
108,eminent,著名な、すぐれた、卓越した
109,outstanding,目立った；傑出した；未解決の
110,missing,行方不明の；欠落した；欠けている
111,generous,寛大な、気前の良い；たくさんの
112,scarce,乏しい、不十分な、少ない、不足した
113,affluent,豊かな、裕福な、おびただしい
114,faint,かすかな、弱々しい、ぼんやりした、気を失いそうな
115,suburb,郊外、住宅地；(～s) 周辺、付近
116,astronomy,天文学
117,superficial,表面の、うわべだけの
118,shallow,浅い；浅はかな
119,conspicuous,目立つ；人目を引く
120,eternal,永遠の、永久の
121,transient,一時的な、つかの間の；短期滞在の
122,profound,（意味などが）深い、深遠な；難解な
123,legitimate,正当な；合法的な
124,invalid,無効の、根拠の薄い；病弱な
125,minute,非常に小さい、ささいな、詳細な
126,reckless,向こう見ずな；気にかけない
127,superfluous,過分の；無用の
128,prudent,用心深い；分別のある
129,arbitrary,任意の；独断的な
130,deprive,～から（～を）奪う、～から剥奪する
131,rob,～から（...を）奪う
132,own,～を持っている
133,owe,～に借りがある；～に負うている
134,perform,～を演奏・上演する；（仕事など）を行う、～を遂行する
135,decline,～を断る
136,increase,増加する；上昇する
137,fix,～を修理する；（食事など）を用意する；～を固定する；～を決める
138,wind,曲がりくねる
139,decide,～を決意する、（論争、問題など）に決着をつける、～を決める
140,determine,～を決意する、～を決心する、～を（はっきりと）決める
141,abolish,（法律、制度など）を廃止する
142,extend,～を延長する、～を拡大する；～を示す、～を施す
143,bury,～を埋める；～を埋葬する
144,dig,（～を）掘る、～を掘り出す
